project_name,artist,year,rating,tags
all day,girl talk,2008,8,"favorite albums, mashup, 2010, Hip-Hop, Love"
my beautiful dark twisted fantasy,kanye west,2010,6,"Hip-Hop, 2010, rap, hip hop, albums I own"
scary monsters and nice sprites,skrillex,2010,7,"dubstep, House, electronic, electro house, electro"
broken bells,broken bells,2010,5,"2010, indie, best of 2010, albums I own, Very Good"
bastard,"tyler, the creator",2019,7,"rap, Horrorcore, 2009, Hip-Hop, 2010"
sex dreams and denim jeans,uffie,2010,2,"2010, best of 2010, electronica, alternative dance, 2010s"
king of the beach,wavves,2010,8,"2010, Lo-Fi, best of 2010, noise pop, indie rock"
unsilent death,nails,2010,9,"grindcore, powerviolence, hardcore, 2010, Crust"
come around sundown,kings of leon,2010,4,"2010, albums I own, indie rock, rock, Southern Rock"
halcyon digest,deerhunter,2010,8,"2010, indie rock, dream pop, Neo-Psychedelia, shoegaze"
self-titled,crystal castles,2008,7,"electronic, 8-bit, albums I own, 2008, best of 2008"
belus,burzum,2010,4,"black metal, atmospheric black metal, Norwegian Black Metal, 2010, true black metal"
public strain,women,2010,9,"2010, indie rock, post-punk, rock, shoegaze"
senior,röyksopp,2010,5,"2010, chillout, electronic, ambient, downtempo"
congratulations,mgmt,2010,8,"2010, psychedelic, indie, electronic, best of 2010"
raw power,iggy and the stooges,1973,5,"rock, albums I own, david bowie, Iggy Pop, CD"
this is happening,lcd soundsystem,2010,9,"2010, electronic, best of 2010, albums I own, alternative"
satan worshipping doom,bongripper,2020,8,"Sludge, doom metal, Doom, sludge metal, drone"
total life forever,foals,2010,4,"2010, albums I own, best of 2010, indie rock, indie"
innerspeaker,tame impala,2010,6,"2010, psychedelic, Psychedelic Rock, albums I own, best of 2010"
apollo kids,ghostface killah,2010,8,"Hip-Hop, rap, epic, 2010, def jam"
king night,salem,2010,2,"2010, witch house, darkwave, experimental, shoegaze"
brothers,the black keys,2010,7,"blues rock, 2010, albums I own, Garage Rock, best of 2010"
false priest,of montreal,2010,5,"2010, indie, indie pop, psychedelic, electronic"
the age of adz,sufjan stevens,2010,6,"2010, art pop, electronic, indie, folktronica"
snakes for the divine,high on fire,2010,8,"2010, stoner metal, heavy metal, metal, albums I own"
swim,caribou,2010,6,"2010, electronic, best of 2010, experimental, Canadian"
before today,ariel pink's haunted graffiti,2010,8,"2010, best of 2010, Lo-Fi, indie, 10s"
sisterworld,liars,2010,6,"2010, best of 2010, mute, 10s, best albums of 2010"
high violet,the national,2010,6,"2010, indie rock, best of 2010, albums I own, favourite albums"
maniac meat,tobacco,2010,7,"2010, best of 2010, electronic, electropop, albums I own"
drunk girls,lcd soundsystem,2011,7,"electronic, 2010, Snazzy Beans"
sometimes the blues is just a passing bird,the tallest man on earth,2010,8,"2010, folk, albums I own, singer-songwriter, folk rock"
clinging to a scheme,the radio dept.,2010,8,"2010, best of 2010, indie pop, shoegaze, albums I own"
le noise,neil young,2021,5,"2010, folk rock, rock, 10s, Garage Rock"
throat,little women,2010,9,"noise, Avant-Garde, jazzcore, free jazz, best of 2010"
black masses,electric wizard,2010,6,"doom metal, 2010, stoner metal, albums I own, Stoner Rock"
hurley,weezer,2010,7,"rock, 2010, alternative, alternative rock, power pop"
american ghetto,portugal. the man,2010,3,"2010, indie rock, Progressive, indie, experimental"
man on the moon ii: the legend of mr. rager,kid cudi,2010,6,"Hip-Hop, 2010, alternative, hip hop, psychedelic"
marrow of the spirit,agalloch,2010,8,"2010, atmospheric black metal, black metal, folk metal, homoerotic wet dream nostalgia metal"
diamond eyes,deftones,2008,4,"alternative metal, 2010, alternative rock, albums I own, metal"
business casual,chromeo,2010,9,"2010, electronic, funk, dance, my gang 10"
